Name,Type,SubType,Suburb,Rating,PriceLevel,RankingPosition,Address,Latitude,Longitude,NumberOfReviews
Bluetrain,Restaurant,,Southbank,3.5,$$ - $$$,268,"Southgate Complex, Upper Level, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,667
Ludlow Bar & Dining Room,Restaurant,,Southbank,3.5,$$ - $$$,322,"6 Riverside Qy, Melbourne, Victoria 3006 Australia",-37.8208141,144.9639348,702
Hopscotch,Restaurant,,Southbank,3.5,$$ - $$$,288,"Ground Floor, 4 Riverside Quay Southbank, Melbourne, Victoria 3006 Australia",-37.8208918,144.9633777,589
Munich Brauhaus,Restaurant,,South Wharf,3.5,$$ - $$$,304,"45 South Wharf Promenade, Melbourne, Victoria Australia",-37.8241437,144.9500484,1034
Left Bank Melbourne,Restaurant,,Southbank,3.5,$$ - $$$,368,"1 Southbank Boulevard, Melbourne, Victoria 3006 Australia",-37.8217068,144.9621854,841
Elephant and Wheelbarrow,Restaurant,,Melbourne,3.5,$$ - $$$,327,"94-96 Bourke St, Melbourne, Victoria 3000 Australia",-37.8119053,144.9702831,582
Shark Fin Inn,Restaurant,,Melbourne,3.5,$$ - $$$,406,"50 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8106944,144.9709994,586
Om Nom,Restaurant,,Melbourne,4,$$$$,83,"187 Flinders Lane Adelphi Hotel, Melbourne, Victoria 3000 Australia",-37.816265,144.9683427,545
Max Bar Restaurant,Restaurant,,Melbourne,4,$$ - $$$,63,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8133408,144.9611612,1405
The Meat & Wine Co Southbank,Restaurant,,Southbank,4,$$ - $$$,112,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",-37.8215031,144.961902,1478
The Quarter,Restaurant,,Melbourne,4,$$ - $$$,94,"27 Degraves St, Melbourne, Victoria 3000 Australia",-37.8170427,144.9654783,745
Cookie,Restaurant,,Melbourne,4,$$ - $$$,95,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",-37.8120083,144.9651728,1050
P.J.O'Brien's Irish Pub,Restaurant,,Southbank,4,$$ - $$$,92,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,544
The  European,Restaurant,,Melbourne,4,$$ - $$$,97,"161 Spring St, Melbourne, Victoria 3000 Australia",-37.8108981,144.9725911,951
Berth,Restaurant,,Docklands,4,$$ - $$$,109,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",-37.8151482,144.9418505,568
Mamasita,Restaurant,,Melbourne,4,$$ - $$$,135,"11 Collins St, Melbourne, Victoria 3000 Australia",-37.8137892,144.9734671,1307
The Meatball and Wine Bar,Restaurant,,Melbourne,4,$$ - $$$,132,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8157447,144.970197,699
BangPop,Restaurant,,South Wharf,4,$$ - $$$,119,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",-37.824201,144.95135,559
Caffe e Cucina,Restaurant,,South Yarra,4,$$ - $$$,147,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",-37.8401884,144.9952627,490
Melba Restaurant,Restaurant,,Southbank,4,$$$$,125,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",-37.8205751,144.9656601,1306
Waterfront,Restaurant,,Southbank,4,$$$$,99,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",-37.8204031,144.9662873,1525
Bottega,Restaurant,,Melbourne,4,$$$$,96,"74 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117213,144.9710448,405
Shanghai Street,Restaurant,,Melbourne,4,$,121,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8132158,144.9623952,595
Mamak,Restaurant,,Melbourne,4,$,116,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8122826,144.9615784,514
No35,Restaurant,,Melbourne,4,$$$$,104,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",-37.8139461,144.9734456,929
La Camera Restaurant Southgate,Restaurant,,Southbank,4,$$ - $$$,145,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,1148
Red Emperor Chinese Restaurant,Restaurant,,Southbank,4,$$ - $$$,165,"3 Southgate Ave M10/ Mid Level, Melbourne, Victoria 3006 Australia",-37.82009,144.9663893,534
Grossi  Florentino,Restaurant,,Melbourne,4,$$$$,133,"80 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117334,144.9708074,1262
Magic Mountain Saloon,Restaurant,,Melbourne,4,$$ - $$$,148,"62 Little Collins St, Melbourne, Victoria 3000 Australia",-37.81281,144.971442,289
The Bank on Collins,Restaurant,,Melbourne,4,$$ - $$$,98,"394 Collins St, Melbourne, Victoria 3000 Australia",-37.8167434,144.9612062,393
Ponyfish Island,Restaurant,,Melbourne,4,$$ - $$$,115,"Underneath Evan Walker Pedestrian Bridge Southbank, Melbourne, Victoria 3006 Australia",-37.8199057,144.9650109,479
Tiamo,Restaurant,,Carlton,4,$$ - $$$,144,"303 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.7981962,144.9670955,726
Conservatory,Restaurant,,Southbank,4,$$$$,108,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1129
Trunk,Restaurant,,Melbourne,4,$$ - $$$,129,"275 Exhibition St, Melbourne, Victoria 3000 Australia",-37.8093611,144.9689708,769
Higher Ground,Restaurant,,Melbourne,4,$$ - $$$,134,"650 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8157491,144.9530438,713
Pellegrini's Espresso Bar,Restaurant,,Melbourne,4,$,127,"66 Bourke St, Melbourne, Victoria 3000 Australia",-37.8116808,144.9711915,1067
Ca de Vin,Restaurant,,Melbourne,4,$$ - $$$,136,"350 Bourke St Melbourne GPO, Melbourne, Victoria 3000 Australia",-37.8135391,144.9632758,523
Terra Rossa Restaurant & Bar,Restaurant,,Melbourne,4,$$ - $$$,137,"87 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8152624,144.9713399,458
Sake Restaurant & Bar (Southbank),Restaurant,,Southbank,4,$$ - $$$,180,"100 St Kilda Rd Hamer Hall, Arts Centre, Melbourne, Victoria 3004 Australia",-37.8201455,144.9679946,725
France Soir,Restaurant,,South Yarra,4,$$$$,154,"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",-37.8381816,144.9869535,654
Blondie Bar,Restaurant,,Southbank,4,$$ - $$$,155,"Corner Sturt Street & Southbank Boulevard, Southbank Melbourne Recital Centre, Melbourne, Victoria 3006 Australia",-37.8238758,144.9676033,258
Madame Brussels,Restaurant,,Melbourne,4,$$ - $$$,114,"59-63 Bourke St Level 3, Above Spaghetti Tree Restaurant!, Melbourne, Victoria 3000 Australia",-37.8119715,144.9715104,461
Pure South Dining,Restaurant,,Southbank,4,$$$$,177,"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",-37.820556,144.965833,927
Nobu Melbourne,Restaurant,,Southbank,4,$$$$,178,"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1462
Stalactites,Restaurant,,Melbourne,4,$$ - $$$,149,"177-183 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8111764,144.9670673,1473
St Ali Coffee Roasters,Restaurant,,South Melbourne,4,$$ - $$$,111,"12-18 Yarra Pl, Melbourne, Victoria 3205 Australia",-37.8312737,144.9603327,632
Hofbrauhaus,Restaurant,,Melbourne,4,$$ - $$$,126,"18-26 Market Lane In the heart of Chinatown, Melbourne, Victoria 3000 Australia",-37.811775,144.9693901,475
Box Seafood Restaurant,Restaurant,,Melbourne,4,$$$$,168,"189 Collins St, Melbourne, Victoria 3000 Australia",-37.8153416,144.9677447,416
Brunetti Oro Flinders Lane,Restaurant,,Melbourne,4,$$ - $$$,176,"250 Flinders Ln, Melbourne, Victoria 3000 Australia",-37.8164259,144.9657009,332
The Kettle Black,Restaurant,,South Melbourne,4,$$ - $$$,140,"50 Albert Rd, Melbourne, Victoria 3205 Australia",-37.8339749,144.9710507,450
The Vegie Bar,Restaurant,,Fitzroy,4,$$ - $$$,6,"380 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7958383,144.9791427,936
Byblos Bar & Restaurant,Restaurant,,Docklands,4,$$ - $$$,191,"12 World Trade Centre, Melbourne, Victoria 3005 Australia",-37.8229849,144.9543437,314
Young and Jacksons,Restaurant,,Melbourne,4,$$ - $$$,167,"Cnr Swanston & Flinders Sts, Melbourne, Victoria 3000 Australia",-37.8175406,144.9674005,366
Sister of Soul,Restaurant,,St Kilda,4,$$ - $$$,9,"73 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.867712,144.978752,402
Bistro Guillaume,Restaurant,,Southbank,4,$$$$,160,"Crown Entertainment Complex 8 Whiteman St Riverside at Crown, Southbank, Melbourne, Victoria 3006 Australia",-37.8238012,144.9598397,1115
Mezzo,Restaurant,,Melbourne,4,$$ - $$$,225,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810701,144.971677,324
Self Preservation,Restaurant,,Melbourne,4,$$ - $$$,230,"70 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117064,144.9711052,207
Koko Japanese Restaurant,Restaurant,,Southbank,4,$$$$,241,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,323
Cafe Excello,Restaurant,,Melbourne,4,$$ - $$$,193,"99 Spring St, Melbourne, Victoria 3000 Australia",-37.8125245,144.9733336,220
The Breslin Bar & Grill,Restaurant,,Southbank,4,$$ - $$$,179,"2 Southbank Bvd, Melbourne, Victoria 3006 Australia",-37.822022,144.9621558,650
Tazio,Restaurant,,Melbourne,4,$$ - $$$,201,"91 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815405,144.9712067,291
Rice Paper,Restaurant,,Melbourne,4,$,192,"245 Swanston St, Melbourne, Victoria 3000 Australia",-37.8122584,144.9648361,287
Papa Gino's Pizza Restaurant,Restaurant,,Carlton,4,$$ - $$$,209,"Lygon Street Carlton, Melbourne, Victoria 3053 Australia",-37.8000755,144.9670959,465
The Jazz Corner Cafe,Restaurant,,Melbourne,4,$$ - $$$,203,"350 William St located within The Jazz Corner Hotel - lobby cafe and mezzanine restaurant, Melbourne, Victoria 3000 Australia",-37.8154899,144.9717649,305
Hutong Dumpling Bar,Restaurant,,Melbourne,4,$$ - $$$,153,"14-16 Market Lane, Melbourne, Victoria 3000 Australia",-37.811884,144.9694785,766
Merchant,Restaurant,,Melbourne,4,$$ - $$$,182,"495 Collins St, Melbourne, Victoria 3000 Australia",-37.8183605,144.9580642,331
Mitre Tavern Steakhouse & Grill,Restaurant,,Melbourne,4,$$ - $$$,151,"5 Bank Pl Level 1, Melbourne, Victoria 3000 Australia",-37.8167925,144.9603327,424
Chez Dre Cafe,Restaurant,,South Melbourne,4,$$ - $$$,229,"Rear of 285/287 Coventry St Access Via Alleyway, Melbourne, Victoria 3205 Australia",-37.8326392,144.9582379,386
