name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
Hopetoun Tea Rooms est. 1892,26,$$ - $$$,restaurant,4.5,"421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",-37.8147447,144.9617186,2311
Da Guido La Pasta,2,$$ - $$$,restaurant,4.5,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8040324,144.9666117,1095
Foglia di Fico,3,$$ - $$$,restaurant,5,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",-37.8133556,144.9519345,202
Pidapipo Gelateria,11,$,restaurant,4.5,"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",-37.7983787,144.9670955,433
Kazuki's,9,$$$$,restaurant,4.5,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8041216,144.9660142,500
Hochi Mama,17,$$ - $$$,restaurant,4.5,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810701,144.971677,1469
Sezar,18,$$ - $$$,restaurant,4.5,"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",-37.81339,144.9689499,1024
The French Brasserie,19,$$$$,restaurant,4.5,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.8154573,144.9715812,721
The Railway Club Hotel Steakhouse,24,$$ - $$$,restaurant,4.5,"107 Raglan St Port Melbourne, Melbourne, Victoria 3207 Australia",-37.8337815,144.9443076,680
Bistrot d'Orsay,29,$$ - $$$,restaurant,4.5,"184 Collins St, Melbourne, Victoria 3000 Australia",-37.8150355,144.967406,497
Da Guido 365,7,$$ - $$$,restaurant,4.5,"365 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8155631,144.9626661,524
Roule Galette Melbourne,8,$,restaurant,4.5,"241 Flinders Lane Shop 1, Melbourne, Victoria 3000 Australia",-37.8168239,144.9662818,604
Eau De Vie,15,$$ - $$$,restaurant,4.5,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.8157231,144.9715309,814
Tipo 00,20,$$ - $$$,restaurant,4.5,"361 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8135846,144.9619894,823
Ruyi Modern Chinese,25,$$ - $$$,restaurant,4.5,"16 Liverpool St, Melbourne, Victoria 3000 Australia",-37.8110844,144.9714663,377
David's Master Pot (Elizabeth St - CBD),21,$$ - $$$,restaurant,5,"462 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.8078645,144.9606099,140
Longrain,28,$$ - $$$,restaurant,4.5,"44 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8106475,144.9712096,1172
Straight Outta Saigon,13,$$ - $$$,restaurant,4.5,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",-37.8130144,144.96839,337
Patricia Coffee Brewers,27,$,restaurant,4.5,"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8146934,144.9582383,212
Coda,49,$$$$,restaurant,4.5,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8157661,144.9698897,1150
Bowery to Williamsburg,55,$$ - $$$,restaurant,4.5,"16 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8162381,144.970252,322
Rare Steakhouse Midtown,51,$$ - $$$,restaurant,4.5,"12 Goldie Pl, Melbourne, Victoria 3000 Australia",-37.813386,144.960767,344
Seven Seeds,46,$$ - $$$,restaurant,4.5,"114 Berkley Street Carlton, Melbourne, Victoria Australia",-37.8028937,144.9590482,381
Betty’s Burgers & Concrete Co,44,$,restaurant,4.5,"97 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.8159123,144.9636262,1215
seamstress,36,$$ - $$$,restaurant,4.5,"113 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8105559,144.9690188,501
Laksa King,61,$,restaurant,4.5,"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",-37.7878851,144.9295518,557
Sud Food and Wine,56,$$ - $$$,restaurant,4.5,"219 King St, Melbourne, Victoria 3000 Australia",-37.8151074,144.9549067,230
11 Inch Pizza,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8155661,144.9629631,324
Operator 25,22,$$ - $$$,restaurant,4.5,"25 Wills St, Melbourne, Victoria 3000 Australia",-37.8107329,144.9570341,447
Koko Black Chocolate,38,$$ - $$$,restaurant,4.5,"52 Collins St, Melbourne, Victoria 3000 Australia",-37.8134641,144.9718105,558
Auction Rooms,57,$$ - $$$,restaurant,4.5,"103-107 Errol St, Melbourne, Victoria 3051 Australia",-37.8025013,144.9494883,432
Tonka,58,$$$$,restaurant,4.5,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8157594,144.9714188,817
Il Solito Posto,23,$$ - $$$,restaurant,4.5,"113 Collins St via George Parade, Melbourne, Victoria 3000 Australia",-37.8147691,144.9702618,989
Geppetto Trattoria,5,$$ - $$$,restaurant,4.5,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",-37.8164787,144.9873637,439
